"","site","management","date","transect","method","meters","richness","rich_std","abundance","abun_std","biomass","biom_std","year"
"1","Chañaral de Aceituno","MPA",2022-10-25,4,"IFOP",400,10,0.025,119,0.2975,106.696758966611,0.266741897416527,2022
"2","Chañaral de Aceituno","MPA",2022-10-25,6,"IFOP",400,8,0.02,95,0.2375,10.0534197873811,0.0251335494684528,2022
"3","Chañaral de Aceituno","MPA",2022-10-25,10,"IFOP",400,7,0.0175,360,0.9,69.5445143322554,0.173861285830639,2022
"4","Chañaral de Aceituno","OA",2022-10-26,3,"IFOP",400,7,0.0175,85,0.2125,13.4872919476661,0.0337182298691652,2022
"5","Chañaral de Aceituno","TURF",2022-10-27,1,"IFOP",400,9,0.0225,159,0.3975,16.1601866169727,0.0404004665424317,2022
"6","Chañaral de Aceituno","TURF",2022-10-27,5,"IFOP",400,5,0.0125,46,0.115,6.56340255948951,0.0164085063987238,2022
"7","Chañaral de Aceituno","TURF",2022-10-27,10,"IFOP",400,6,0.015,252,0.63,7.88102100297106,0.0197025525074276,2022
"8","Chañaral de Aceituno","MPA",2021-11-02,1,"RLS",500,8,0.016,512,1.024,131.418890105662,0.262837780211323,2021
"9","Chañaral de Aceituno","MPA",2021-11-02,1,"RLS",100,3,0.03,34,0.34,0.669444254277009,0.00669444254277009,2021
"10","Chañaral de Aceituno","MPA",2021-11-02,2,"RLS",500,6,0.012,350,0.7,32.1957612616715,0.0643915225233431,2021
"11","Chañaral de Aceituno","MPA",2021-11-02,2,"RLS",100,4,0.04,45,0.45,0.649397321064403,0.00649397321064403,2021
"12","Chañaral de Aceituno","MPA",2021-11-02,3,"RLS",500,9,0.018,508,1.016,56.6879209290349,0.11337584185807,2021
"13","Chañaral de Aceituno","MPA",2021-11-02,3,"RLS",100,4,0.04,23,0.23,0.350344927604225,0.00350344927604225,2021
"14","Chañaral de Aceituno","MPA",2021-11-09,3,"RLS",500,9,0.018,381,0.762,95.0206265261968,0.190041253052394,2021
"15","Chañaral de Aceituno","MPA",2021-11-09,3,"RLS",100,4,0.04,79,0.79,0.441706038043926,0.00441706038043926,2021
"16","Chañaral de Aceituno","MPA",2021-11-02,4,"RLS",500,6,0.012,400,0.8,36.1661280107544,0.0723322560215088,2021
"17","Chañaral de Aceituno","MPA",2021-11-02,5,"RLS",500,6,0.012,331,0.662,49.4270973766705,0.098854194753341,2021
"18","Chañaral de Aceituno","MPA",2021-11-02,5,"RLS",100,3,0.03,30,0.3,0.165516652331844,0.00165516652331844,2021
"19","Chañaral de Aceituno","MPA",2021-11-09,6,"RLS",500,7,0.014,800,1.6,80.3288264932864,0.160657652986573,2021
"20","Chañaral de Aceituno","MPA",2021-11-09,6,"RLS",100,6,0.06,64,0.64,4.01797567927119,0.0401797567927119,2021
"21","Chañaral de Aceituno","OA",2021-11-08,1,"RLS",500,7,0.014,149,0.298,15.9120779016716,0.0318241558033433,2021
"22","Chañaral de Aceituno","OA",2021-11-08,1,"RLS",100,3,0.03,21,0.21,0.0237202893372115,0.000237202893372115,2021
"23","Chañaral de Aceituno","OA",2021-11-08,2,"RLS",500,9,0.018,166,0.332,21.6585987302122,0.0433171974604243,2021
"24","Chañaral de Aceituno","OA",2021-11-08,2,"RLS",100,2,0.02,26,0.26,1.35106640887717,0.0135106640887717,2021
"25","Chañaral de Aceituno","OA",2022-10-24,3,"RLS",500,5,0.01,77,0.154,8.01855371500258,0.0160371074300052,2022
"26","Chañaral de Aceituno","OA",2022-10-24,3,"RLS",100,7,0.07,59,0.59,5.30779843452963,0.0530779843452963,2022
"27","Chañaral de Aceituno","OA",2022-10-24,4,"RLS",500,5,0.01,71,0.142,6.30355000947125,0.0126071000189425,2022
"28","Chañaral de Aceituno","OA",2022-10-24,4,"RLS",100,6,0.06,18,0.18,0.451232627080853,0.00451232627080853,2022
"29","Las Cruces","MPA",2022-05-30,4,"RLS",500,12,0.024,90,0.18,56.6716960771756,0.113343392154351,2022
"30","Las Cruces","MPA",2022-05-30,4,"RLS",100,4,0.04,22,0.22,0.410073498400808,0.00410073498400808,2022
"31","Las Cruces","MPA",2022-05-30,5,"RLS",500,9,0.018,68,0.136,29.608929019408,0.059217858038816,2022
"32","Las Cruces","MPA",2022-05-30,5,"RLS",100,4,0.04,62,0.62,0.226804932219499,0.00226804932219499,2022
"33","Las Cruces","MPA",2022-05-30,6,"RLS",500,5,0.01,44,0.088,11.958139370436,0.023916278740872,2022
"34","Las Cruces","MPA",2022-05-30,6,"RLS",100,3,0.03,16,0.16,0.196698852262197,0.00196698852262197,2022
"35","Las Cruces","MPA",2022-05-30,7,"RLS",500,4,0.008,73,0.146,58.6324027802168,0.117264805560434,2022
"36","Las Cruces","MPA",2022-05-30,7,"RLS",100,8,0.08,58,0.58,1.26426247023957,0.0126426247023957,2022
"37","Las Cruces","MPA",2022-06-16,8,"RLS",500,6,0.012,17,0.034,5.01563678381495,0.0100312735676299,2022
"38","Las Cruces","MPA",2022-06-16,8,"RLS",100,7,0.07,45,0.45,1.95441547564978,0.0195441547564978,2022
"39","Las Cruces","OA",2023-06-14,4,"RLS",500,3,0.006,10,0.02,1.70007056543848,0.00340014113087696,2023
"40","Las Cruces","OA",2023-06-14,4,"RLS",100,5,0.05,67,0.67,0.0506091288671748,0.000506091288671748,2023
"41","Las Cruces","OA",2023-06-14,5,"RLS",500,2,0.004,27,0.054,0.780561907797946,0.00156112381559589,2023
"42","Las Cruces","OA",2023-06-14,5,"RLS",100,3,0.03,54,0.54,0.0675971587034295,0.000675971587034295,2023
"43","Las Cruces","OA",2023-08-18,6,"RLS",500,6,0.012,94,0.188,3.84877003286425,0.0076975400657285,2023
"44","Las Cruces","OA",2023-08-18,6,"RLS",100,5,0.05,48,0.48,0.315370821962664,0.00315370821962664,2023
"45","Las Cruces","OA",2023-08-24,6,"RLS",500,1,0.002,1,0.002,0.0138019957094079,2.76039914188158e-05,2023
"46","Las Cruces","OA",2023-08-18,7,"RLS",500,6,0.012,75,0.15,2.95929041882811,0.00591858083765622,2023
"47","Las Cruces","OA",2023-08-18,7,"RLS",100,5,0.05,57,0.57,0.238538789778448,0.00238538789778448,2023
"48","Las Cruces","OA",2023-08-24,7,"RLS",500,1,0.002,1,0.002,0.0481174901357667,9.62349802715334e-05,2023
"49","Las Cruces","OA",2023-08-18,8,"RLS",500,4,0.008,65,0.13,0.389532898952522,0.000779065797905045,2023
"50","Las Cruces","OA",2023-08-18,8,"RLS",100,2,0.02,17,0.17,0.210735501878703,0.00210735501878703,2023
"51","Las Cruces","OA",2023-08-24,9,"RLS",500,7,0.014,34,0.068,6.90801621029095,0.0138160324205819,2023
"52","Las Cruces","OA",2023-08-24,9,"RLS",100,2,0.02,22,0.22,0.0385307488633286,0.000385307488633286,2023
"53","Las Cruces","OA",2023-08-18,10,"RLS",100,1,0.01,1,0.01,0.0216075954203211,0.000216075954203211,2023
"54","Las Cruces","OA",2023-08-24,10,"RLS",500,4,0.008,80,0.16,5.2876040377107,0.0105752080754214,2023
"55","Las Cruces","OA",2023-08-24,10,"RLS",100,2,0.02,22,0.22,0.0239679725135682,0.000239679725135682,2023
"56","Las Cruces","OA",2023-08-24,11,"RLS",500,3,0.006,18,0.036,0.710226808022939,0.00142045361604588,2023
"57","Las Cruces","OA",2023-08-24,11,"RLS",100,1,0.01,31,0.31,0.013243308330297,0.00013243308330297,2023
"58","Las Cruces","TURF",2023-04-20,1,"RLS",500,6,0.012,90,0.18,8.39846583682078,0.0167969316736416,2023
"59","Las Cruces","TURF",2023-04-20,1,"RLS",100,4,0.04,16,0.16,0.959253574950544,0.00959253574950544,2023
"60","Las Cruces","TURF",2023-04-20,2,"RLS",500,6,0.012,58,0.116,10.0838776286815,0.0201677552573631,2023
"61","Las Cruces","TURF",2023-04-20,2,"RLS",100,4,0.04,48,0.48,0.309922233457232,0.00309922233457232,2023
"62","Las Cruces","TURF",2023-05-29,3,"RLS",500,12,0.024,186,0.372,45.2031497865831,0.0904062995731663,2023
"63","Las Cruces","TURF",2023-05-29,3,"RLS",100,6,0.06,51,0.51,0.52194740890225,0.0052194740890225,2023
"64","Las Cruces","TURF",2023-05-29,4,"RLS",500,11,0.022,177,0.354,14.1132002341215,0.028226400468243,2023
"65","Las Cruces","TURF",2023-05-29,4,"RLS",100,6,0.06,90,0.9,2.34619632486459,0.0234619632486459,2023
"66","Las Cruces","TURF",2023-05-29,5,"RLS",500,8,0.016,127,0.254,12.6936538121473,0.0253873076242945,2023
"67","Las Cruces","TURF",2023-05-29,5,"RLS",100,3,0.03,73,0.73,0.204694337887811,0.00204694337887811,2023
"68","Las Cruces","TURF",2023-05-29,6,"RLS",500,7,0.014,146,0.292,21.5326845650528,0.0430653691301057,2023
"69","Las Cruces","TURF",2023-05-29,6,"RLS",100,7,0.07,111,1.11,1.21890308991942,0.0121890308991942,2023
